,Unnamed: 0,Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine ,Line
0,28,3,DGY1886_1,98.48,0.71,0.0006,0.0009,0.0024,0.9958,DGY1886
1,98,21,DGY1886_1,88.09,8.49,0.0253,0.0093999999999999,0.0131,0.9766,DGY1886
2,168,33,DGY1886_1,99.97,0.0,0.0003,0.001,0.0116,0.987,DGY1886
3,238,45,DGY1886_1,99.91,0.0,0.0,0.003,0.0191,0.9803,DGY1886
4,308,57,DGY1886_1,99.72,0.12,0.0004,0.0034999999999999,0.0209,0.9764,DGY1886
5,378,75,DGY1886_1,99.79,0.06,0.0012,0.003,0.0463,0.9507,DGY1886
6,448,87,DGY1886_1,99.82,0.0,0.0003,0.0013,0.0848,0.9144,DGY1886
7,518,117,DGY1886_1,99.27,0.02,0.0,0.0012,0.3284,0.7003,DGY1886
8,588,135,DGY1886_1,99.97,0.0,0.0,0.0011,0.4334,0.5693,DGY1886
9,658,147,DGY1886_1,99.94,0.02,0.0004,0.001,0.4921,0.5186999999999999,DGY1886
10,728,159,DGY1886_1,99.65,0.0,0.0002,0.0011,0.6615000000000001,0.3617,DGY1886
11,798,177,DGY1886_1,99.95,0.0,0.0003,0.0002,0.7073999999999999,0.3132,DGY1886
12,868,195,DGY1886_1,99.92,0.03,0.0005,0.0005,0.7395999999999999,0.2976,DGY1886
13,938,219,DGY1886_1,99.51,0.05,0.0,0.0007,0.8751000000000001,0.1487,DGY1886
14,29,3,DGY1886_2,99.03,0.5,0.0,0.0006,0.0012,0.9976,DGY1886
15,99,21,DGY1886_2,90.08,6.84,0.0152,0.0127,0.0137,0.9711,DGY1886
16,169,33,DGY1886_2,99.91,0.06,0.0003,0.0019,0.0136,0.9839,DGY1886
17,239,45,DGY1886_2,99.91,0.0,0.0009,0.0012,0.0227999999999999,0.9766,DGY1886
18,309,57,DGY1886_2,99.72,0.09,0.0003,0.0019,0.0189,0.9787,DGY1886
19,379,75,DGY1886_2,99.85,0.06,0.0003,0.0034,0.0523,0.9465,DGY1886
20,449,87,DGY1886_2,99.7,0.0,0.0002,0.002,0.0689,0.9301,DGY1886
21,519,117,DGY1886_2,98.75,0.0,0.0002,0.0004,0.3242,0.7375,DGY1886
22,589,135,DGY1886_2,99.92,0.03,0.0,0.0,0.2919,0.7109000000000001,DGY1886
23,659,147,DGY1886_2,99.94,0.02,0.0,0.0008,0.3321,0.6862,DGY1886
