hue,index,replicate,coverage
Collective Posterior,0.1,0,0.11999999731779099
Collective Posterior,0.2,0,0.20000000298023224
Collective Posterior,0.3,0,0.3100000023841858
Collective Posterior,0.4,0,0.3799999952316284
Collective Posterior,0.5,0,0.41999998688697815
Collective Posterior,0.6,0,0.5
Collective Posterior,0.7,0,0.5600000023841858
Collective Posterior,0.8,0,0.6200000047683716
Collective Posterior,0.9,0,0.7400000095367432
Collective Posterior,0.95,0,0.7799999713897705
NPE+PIE,0.1,0,0.09000000357627869
NPE+PIE,0.2,0,0.12999999523162842
NPE+PIE,0.3,0,0.20000000298023224
NPE+PIE,0.4,0,0.36000001430511475
NPE+PIE,0.5,0,0.4099999964237213
NPE+PIE,0.6,0,0.5400000214576721
NPE+PIE,0.7,0,0.6100000143051147
NPE+PIE,0.8,0,0.6899999976158142
NPE+PIE,0.9,0,0.8100000023841858
NPE+PIE,0.95,0,0.8399999737739563
Collective Posterior,0.1,1,0.11999999731779099
Collective Posterior,0.2,1,0.20999999344348907
Collective Posterior,0.3,1,0.36000001430511475
Collective Posterior,0.4,1,0.47999998927116394
Collective Posterior,0.5,1,0.5799999833106995
Collective Posterior,0.6,1,0.6700000166893005
Collective Posterior,0.7,1,0.7300000190734863
Collective Posterior,0.8,1,0.7900000214576721
Collective Posterior,0.9,1,0.8299999833106995
Collective Posterior,0.95,1,0.8999999761581421
NPE+PIE,0.1,1,0.03999999910593033
NPE+PIE,0.2,1,0.05000000074505806
NPE+PIE,0.3,1,0.11999999731779099
NPE+PIE,0.4,1,0.20999999344348907
NPE+PIE,0.5,1,0.25999999046325684
NPE+PIE,0.6,1,0.28999999165534973
NPE+PIE,0.7,1,0.3499999940395355
NPE+PIE,0.8,1,0.36000001430511475
NPE+PIE,0.9,1,0.44999998807907104
NPE+PIE,0.95,1,0.550000011920929
Collective Posterior,0.1,2,0.09000000357627869
Collective Posterior,0.2,2,0.1899999976158142
Collective Posterior,0.3,2,0.27000001072883606
Collective Posterior,0.4,2,0.4099999964237213
Collective Posterior,0.5,2,0.49000000953674316
Collective Posterior,0.6,2,0.5899999737739563
Collective Posterior,0.7,2,0.6399999856948853
Collective Posterior,0.8,2,0.7400000095367432
Collective Posterior,0.9,2,0.8399999737739563
Collective Posterior,0.95,2,0.8899999856948853
NPE+PIE,0.1,2,0.05000000074505806
NPE+PIE,0.2,2,0.09000000357627869
NPE+PIE,0.3,2,0.1599999964237213
NPE+PIE,0.4,2,0.18000000715255737
NPE+PIE,0.5,2,0.23999999463558197
NPE+PIE,0.6,2,0.27000001072883606
NPE+PIE,0.7,2,0.3400000035762787
NPE+PIE,0.8,2,0.47999998927116394
NPE+PIE,0.9,2,0.550000011920929
NPE+PIE,0.95,2,0.6299999952316284
Collective Posterior,0.1,3,0.09000000357627869
Collective Posterior,0.2,3,0.1899999976158142
Collective Posterior,0.3,3,0.3199999928474426
Collective Posterior,0.4,3,0.4000000059604645
Collective Posterior,0.5,3,0.46000000834465027
Collective Posterior,0.6,3,0.5400000214576721
Collective Posterior,0.7,3,0.5899999737739563
Collective Posterior,0.8,3,0.6800000071525574
Collective Posterior,0.9,3,0.8199999928474426
Collective Posterior,0.95,3,0.8500000238418579
NPE+PIE,0.1,3,0.10999999940395355
NPE+PIE,0.2,3,0.18000000715255737
NPE+PIE,0.3,3,0.3199999928474426
NPE+PIE,0.4,3,0.38999998569488525
NPE+PIE,0.5,3,0.46000000834465027
NPE+PIE,0.6,3,0.5299999713897705
NPE+PIE,0.7,3,0.5899999737739563
NPE+PIE,0.8,3,0.6899999976158142
NPE+PIE,0.9,3,0.7699999809265137
NPE+PIE,0.95,3,0.8399999737739563
Collective Posterior,0.1,4,0.07999999821186066
Collective Posterior,0.2,4,0.1599999964237213
Collective Posterior,0.3,4,0.25999999046325684
Collective Posterior,0.4,4,0.4300000071525574
Collective Posterior,0.5,4,0.5400000214576721
Collective Posterior,0.6,4,0.6299999952316284
Collective Posterior,0.7,4,0.7099999785423279
Collective Posterior,0.8,4,0.7599999904632568
Collective Posterior,0.9,4,0.8500000238418579
Collective Posterior,0.95,4,0.8899999856948853
NPE+PIE,0.1,4,0.07000000029802322
NPE+PIE,0.2,4,0.12999999523162842
NPE+PIE,0.3,4,0.23000000417232513
NPE+PIE,0.4,4,0.2800000011920929
NPE+PIE,0.5,4,0.3400000035762787
NPE+PIE,0.6,4,0.4000000059604645
NPE+PIE,0.7,4,0.49000000953674316
NPE+PIE,0.8,4,0.5600000023841858
NPE+PIE,0.9,4,0.6399999856948853
NPE+PIE,0.95,4,0.7900000214576721
Collective Posterior,0.1,5,0.07000000029802322
Collective Posterior,0.2,5,0.12999999523162842
Collective Posterior,0.3,5,0.20000000298023224
Collective Posterior,0.4,5,0.3100000023841858
Collective Posterior,0.5,5,0.38999998569488525
Collective Posterior,0.6,5,0.4699999988079071
Collective Posterior,0.7,5,0.6200000047683716
Collective Posterior,0.8,5,0.6899999976158142
Collective Posterior,0.9,5,0.8100000023841858
Collective Posterior,0.95,5,0.8600000143051147
NPE+PIE,0.1,5,0.09000000357627869
NPE+PIE,0.2,5,0.15000000596046448
NPE+PIE,0.3,5,0.18000000715255737
NPE+PIE,0.4,5,0.2800000011920929
NPE+PIE,0.5,5,0.3700000047683716
NPE+PIE,0.6,5,0.4399999976158142
NPE+PIE,0.7,5,0.5
NPE+PIE,0.8,5,0.550000011920929
NPE+PIE,0.9,5,0.6299999952316284
NPE+PIE,0.95,5,0.7099999785423279
