Population,Generation,GFP,wbar,ubar
0,0,0.5,1.0,0.0
0,1,0.5015,1.0000433575896464,0.00116
0,2,0.49976,1.0003659716748023,0.00484
0,3,0.59255,1.0552792302846465,0.19578
0,4,0.99712,1.3133700291884827,0.99602
0,5,1.0,1.3158823324706894,1.00374
0,6,1.0,1.3166245175757958,1.01217
0,7,1.0,1.3205864693912737,1.05387
0,8,1.0,1.3390402316069163,1.23508
0,9,1.0,1.3869170696386888,1.67926
0,10,1.0,1.4233732217769546,1.98098
0,11,1.0,1.4749772398055478,2.29663
0,12,1.0,1.5883515814015534,2.87153
1,0,0.5,1.0,0.0
1,1,0.49852,1.0000579827213156,0.00127
1,2,0.4988,1.000464815859962,0.00647
1,3,0.51923,1.006045444915736,0.05785
1,4,0.63906,1.057856387935706,0.48053
1,5,0.69835,1.1207666461972412,0.95516
1,6,0.63962,1.1336747301428025,1.03768
1,7,0.55861,1.1586733994640732,1.24183
1,8,0.39652,1.2271238025254982,1.78508
1,9,0.22026,1.261388073280432,2.00972
1,10,0.15123,1.2749229977526895,2.085
1,11,0.20634,1.3193479473380847,2.4125
1,12,0.19246,1.3920939872719016,2.89128
2,0,0.5,1.0,0.0
2,1,0.5004,1.0000473738237432,0.00136
2,2,0.49783,1.000342764651345,0.00509
2,3,0.52226,1.016324606321702,0.08925
2,4,0.9042,1.198004743856953,0.91414
2,5,0.98715,1.2215515386280904,1.00511
2,6,0.99655,1.2319963160094378,1.06406
2,7,0.99975,1.3550172613786056,1.70147
2,8,1.0,1.49049797742755,2.46619
2,9,1.0,1.6483511645122484,3.52976
2,10,1.0,1.709743013076352,3.94877
2,11,1.0,1.7239371335427158,4.05596
2,12,1.0,1.7496185190323263,4.25969
3,0,0.5,1.0,0.0
3,1,0.50118,1.0001179747410052,0.0019
3,2,0.4848,1.00239582765296,0.01884
3,3,0.30283,1.0665840882015878,0.40119
3,4,0.01776,1.1680642538224533,0.97647
3,5,0.00189,1.1740513571398947,1.01079
3,6,0.00065,1.1800504998117975,1.05075
3,7,0.00024,1.3178093871641765,1.65291
3,8,2e-05,1.4031819764711766,1.99947
3,9,0.0,1.4864743424226181,2.29706
3,10,0.0,1.6827158386159171,2.97943
3,11,0.0,1.693147755610339,3.01686
3,12,0.0,1.726629642314492,3.18468
4,0,0.5,1.0,0.0
4,1,0.50101,1.000032011600903,0.00082
4,2,0.49948,1.0001985994049787,0.00325
4,3,0.49925,1.001524053893797,0.01914
4,4,0.53501,1.0133365426926093,0.14744
4,5,0.69473,1.0703819024587586,0.69332
4,6,0.78069,1.1147119120766837,1.04352
4,7,0.89074,1.272717661625241,1.8509
4,8,0.99972,1.501153132568519,2.98457
4,9,1.0,1.504629313855334,3.00278
4,10,1.0,1.5071143207872695,3.02058
4,11,1.0,1.5362272517074802,3.19309
