Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 0.502642 	 0.499017 	 0.504892 	 0.495317 	 1 	 1 	 1 	 1 
POP-2 	 0.497042 	 0.495783 	 0.486225 	 0.4837 	 1 	 1 	 1 	 1 
POP-3 	 0.4993 	 0.504067 	 0.5067 	 0.507908 	 1 	 1 	 1 	 1 
POP-4 	 0.499617 	 0.49605 	 0.496 	 0.494808 	 1 	 1 	 1 	 1 
POP-5 	 0.49445 	 0.495067 	 0.499683 	 0.503375 	 1 	 1 	 1 	 1.00002 
POP-6 	 0.489592 	 0.493325 	 0.499658 	 0.492608 	 1 	 1 	 1 	 1 
POP-7 	 0.500208 	 0.5002 	 0.49975 	 0.502008 	 1 	 1 	 1 	 1 
POP-8 	 0.514542 	 0.5245 	 0.521925 	 0.524092 	 1 	 1 	 1 	 1 
POP-9 	 0.490708 	 0.485467 	 0.492325 	 0.496708 	 1 	 1 	 1 	 1 
POP-10 	 0.496908 	 0.4978 	 0.497117 	 0.490242 	 1 	 1 	 1 	 1 
POP-11 	 0.506833 	 0.512342 	 0.51885 	 0.521008 	 1 	 1 	 1 	 1 
POP-12 	 0.512517 	 0.521258 	 0.51365 	 0.51025 	 1 	 1 	 1 	 1 
POP-13 	 0.502158 	 0.4978 	 0.500025 	 0.510767 	 1 	 1 	 1 	 1 
POP-14 	 0.493467 	 0.491567 	 0.489125 	 0.498083 	 1 	 1 	 1 	 1 
POP-15 	 0.489733 	 0.48855 	 0.498567 	 0.489117 	 1 	 1 	 1 	 1 
POP-16 	 0.507717 	 0.505808 	 0.502017 	 0.507917 	 1 	 1 	 1 	 1 
POP-17 	 0.502817 	 0.5009 	 0.501525 	 0.4929 	 1 	 1 	 1 	 1 
POP-18 	 0.50765 	 0.5152 	 0.516 	 0.52165 	 1 	 1 	 1 	 1 
POP-19 	 0.491917 	 0.491683 	 0.485892 	 0.497517 	 1 	 1 	 1 	 1 
POP-20 	 0.494908 	 0.500842 	 0.4928 	 0.498692 	 1 	 1 	 1 	 1 
POP-21 	 0.507817 	 0.494575 	 0.49615 	 0.493842 	 1 	 1 	 1 	 1 
POP-22 	 0.506392 	 0.508858 	 0.514875 	 0.511283 	 1 	 1 	 1 	 1 
POP-23 	 0.494592 	 0.488817 	 0.485558 	 0.485117 	 1 	 1 	 1 	 1 
POP-24 	 0.506 	 0.514467 	 0.519558 	 0.513908 	 1 	 1 	 1 	 1 
POP-25 	 0.491325 	 0.488458 	 0.483242 	 0.486367 	 1 	 1 	 1 	 1 
POP-26 	 0.501858 	 0.502725 	 0.508183 	 0.509258 	 1 	 1 	 1 	 1 
POP-27 	 0.504683 	 0.503342 	 0.510075 	 0.516167 	 1 	 1 	 1 	 1 
POP-28 	 0.509392 	 0.513092 	 0.512725 	 0.512233 	 1 	 1 	 1 	 1 
POP-29 	 0.503375 	 0.501408 	 0.4976 	 0.506267 	 1 	 1 	 1 	 1 
POP-30 	 0.502117 	 0.494625 	 0.486408 	 0.490042 	 1 	 1 	 1 	 1 
POP-31 	 0.500617 	 0.495783 	 0.506033 	 0.5067 	 1 	 1 	 1 	 1 
POP-32 	 0.505008 	 0.502542 	 0.503517 	 0.505033 	 1 	 1 	 1 	 1 
POP-33 	 0.492792 	 0.489092 	 0.494875 	 0.496975 	 1 	 1 	 1 	 1 
POP-34 	 0.500883 	 0.504492 	 0.499783 	 0.500883 	 1 	 1 	 1 	 1 
POP-35 	 0.492442 	 0.492083 	 0.490242 	 0.4921 	 1 	 1 	 1 	 1 
POP-36 	 0.502417 	 0.4978 	 0.493175 	 0.487267 	 1 	 1 	 1 	 1 
POP-37 	 0.507 	 0.513742 	 0.521025 	 0.517875 	 1 	 1 	 1 	 1 
POP-38 	 0.508325 	 0.506708 	 0.501458 	 0.508075 	 1 	 1 	 1 	 1 
POP-39 	 0.507758 	 0.51155 	 0.517317 	 0.519583 	 1 	 1 	 1 	 1 
POP-40 	 0.497267 	 0.496133 	 0.496008 	 0.497692 	 1 	 1 	 1 	 1 
POP-41 	 0.498058 	 0.490783 	 0.479342 	 0.4802 	 1 	 1 	 1 	 1 
POP-42 	 0.4991 	 0.492625 	 0.487083 	 0.486433 	 1 	 1 	 1 	 1 
POP-43 	 0.498983 	 0.50145 	 0.502467 	 0.50525 	 1 	 1.00001 	 1.0001 	 1.0006 
POP-44 	 0.505892 	 0.509542 	 0.510142 	 0.498217 	 1 	 1 	 1 	 1 
POP-45 	 0.491617 	 0.49565 	 0.495258 	 0.503492 	 1 	 1 	 1 	 1 
POP-46 	 0.507892 	 0.508467 	 0.518517 	 0.521625 	 1 	 1 	 1 	 1 
POP-47 	 0.502533 	 0.500175 	 0.50265 	 0.500692 	 1 	 1 	 1 	 1 
POP-48 	 0.49535 	 0.49675 	 0.491858 	 0.501875 	 1 	 1 	 1 	 1 
POP-49 	 0.501892 	 0.5037 	 0.500275 	 0.507808 	 1 	 1 	 1 	 1 
POP-50 	 0.490233 	 0.502 	 0.493108 	 0.493667 	 1 	 1 	 1 	 1 
POP-51 	 0.50305 	 0.513083 	 0.509375 	 0.512308 	 1 	 1 	 1 	 1 
POP-52 	 0.502292 	 0.495442 	 0.494392 	 0.500383 	 1 	 1 	 1 	 1 
POP-53 	 0.498383 	 0.493475 	 0.490383 	 0.489892 	 1 	 1 	 1.00001 	 1.00002 
POP-54 	 0.495042 	 0.489717 	 0.501183 	 0.495792 	 1 	 1 	 1 	 1 
POP-55 	 0.507542 	 0.50715 	 0.507408 	 0.499558 	 1 	 1 	 1 	 1 
POP-56 	 0.504383 	 0.503342 	 0.496825 	 0.4972 	 1 	 1 	 1 	 1 
POP-57 	 0.503308 	 0.502175 	 0.496583 	 0.497 	 1 	 1 	 1 	 1 
POP-58 	 0.503242 	 0.509242 	 0.50385 	 0.510758 	 1 	 1 	 1 	 1 
POP-59 	 0.496875 	 0.501975 	 0.493358 	 0.48545 	 1 	 1 	 1 	 1 
POP-60 	 0.5015 	 0.506875 	 0.502425 	 0.501483 	 1 	 1 	 1 	 1 
POP-61 	 0.49265 	 0.493808 	 0.49185 	 0.488383 	 1 	 1 	 1 	 1 
POP-62 	 0.506667 	 0.51245 	 0.511442 	 0.511158 	 1 	 1 	 1 	 1 
POP-63 	 0.496992 	 0.507267 	 0.508208 	 0.506892 	 1 	 1 	 1 	 1 
POP-64 	 0.498633 	 0.501325 	 0.501708 	 0.502858 	 1 	 1 	 1 	 1 
POP-65 	 0.50085 	 0.503858 	 0.5048 	 0.501708 	 1 	 1 	 1 	 1 
POP-66 	 0.495992 	 0.503975 	 0.496942 	 0.50205 	 1 	 1 	 1 	 1 
POP-67 	 0.49745 	 0.499383 	 0.500433 	 0.492208 	 1 	 1 	 1 	 1 
POP-68 	 0.505633 	 0.506633 	 0.510483 	 0.513758 	 1 	 1 	 1 	 1 
POP-69 	 0.50585 	 0.50975 	 0.511458 	 0.510108 	 1 	 1 	 1 	 1 
POP-70 	 0.500283 	 0.499525 	 0.505733 	 0.501183 	 1 	 1 	 1 	 1 
POP-71 	 0.497575 	 0.491567 	 0.485283 	 0.486608 	 1 	 1 	 1 	 1 
POP-72 	 0.495892 	 0.489625 	 0.482258 	 0.476658 	 1 	 1 	 1 	 1 
POP-73 	 0.506467 	 0.505725 	 0.509108 	 0.515208 	 1 	 1 	 1 	 1 
POP-74 	 0.497617 	 0.499517 	 0.502908 	 0.505758 	 1 	 1 	 1 	 1 
POP-75 	 0.507342 	 0.50155 	 0.499533 	 0.503475 	 1 	 1 	 1 	 1 
POP-76 	 0.502542 	 0.504833 	 0.510092 	 0.518467 	 1 	 1 	 1 	 1 
POP-77 	 0.507308 	 0.514225 	 0.523742 	 0.517508 	 1 	 1 	 1 	 1 
POP-78 	 0.498958 	 0.504883 	 0.502875 	 0.498975 	 1 	 1 	 1 	 1.00002 
POP-79 	 0.497317 	 0.493567 	 0.4893 	 0.495625 	 1 	 1 	 1 	 1 
POP-80 	 0.494617 	 0.494125 	 0.493008 	 0.488542 	 1 	 1 	 1 	 1 
POP-81 	 0.496125 	 0.499933 	 0.501142 	 0.505375 	 1 	 1 	 1 	 1 
POP-82 	 0.500892 	 0.5027 	 0.501417 	 0.506942 	 1 	 1 	 1 	 1 
POP-83 	 0.504958 	 0.510017 	 0.515925 	 0.511583 	 1 	 1 	 1 	 1 
POP-84 	 0.498175 	 0.496167 	 0.489567 	 0.485833 	 1 	 1 	 1 	 1 
POP-85 	 0.5024 	 0.50085 	 0.497733 	 0.499475 	 1 	 1 	 1 	 1 
POP-86 	 0.499083 	 0.494467 	 0.500775 	 0.501417 	 1 	 1 	 1 	 1 
POP-87 	 0.5073 	 0.510192 	 0.50395 	 0.496633 	 1 	 1 	 1 	 1 
POP-88 	 0.5051 	 0.501217 	 0.500925 	 0.494058 	 1 	 1 	 1 	 1 
POP-89 	 0.502083 	 0.502567 	 0.501608 	 0.500542 	 1 	 1 	 1 	 1 
POP-90 	 0.502117 	 0.4885 	 0.481858 	 0.487125 	 1 	 1 	 1 	 1 
POP-91 	 0.506408 	 0.498258 	 0.493292 	 0.495233 	 1 	 1 	 1 	 1 
POP-92 	 0.497917 	 0.499258 	 0.505175 	 0.4982 	 1 	 1 	 1 	 1 
POP-93 	 0.5024 	 0.494992 	 0.493008 	 0.485517 	 1 	 1 	 1 	 1 
POP-94 	 0.499625 	 0.50215 	 0.495467 	 0.493983 	 1 	 1 	 1 	 1 
POP-95 	 0.51065 	 0.511808 	 0.515075 	 0.516258 	 1 	 1 	 1 	 1 
POP-96 	 0.495475 	 0.49655 	 0.492392 	 0.490075 	 1 	 1 	 1 	 1 
POP-97 	 0.494675 	 0.494258 	 0.499517 	 0.489875 	 1 	 1 	 1 	 1 
POP-98 	 0.493217 	 0.494325 	 0.490167 	 0.492067 	 1 	 1 	 1 	 1 
POP-99 	 0.501317 	 0.499833 	 0.50205 	 0.507692 	 1 	 1 	 1 	 1 
POP-100 	 0.498625 	 0.494792 	 0.497167 	 0.495942 	 1 	 1 	 1 	 1 
