Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.838567 	 1 	 1 	 1 	 1 	 1 	 1.67075 	 3.79244 	 6.88397 	 14.4868 	 29.3001 	 65.5125 
POP-2 	 0.946642 	 1 	 1 	 1 	 1 	 1 	 1.52735 	 4.46068 	 10.9625 	 22.9909 	 53.4572 	 130.135 
POP-3 	 0.00735833 	 0 	 0 	 0 	 0 	 0 	 1.9033 	 4.33367 	 8.42398 	 20.6896 	 44.7679 	 78.5533 
POP-4 	 1.66667e-05 	 0 	 0 	 0 	 0 	 0 	 2.64819 	 5.72163 	 14.6461 	 31.8523 	 62.7953 	 122.743 
POP-5 	 0.00405833 	 0 	 0 	 0 	 0 	 0 	 1.6514 	 3.12608 	 7.72749 	 19.6813 	 58.7382 	 149.533 
POP-6 	 0.949183 	 1 	 1 	 1 	 1 	 1 	 1.59343 	 4.88179 	 9.9088 	 19.587 	 64.4725 	 145.323 
POP-7 	 5e-05 	 0 	 0 	 0 	 0 	 0 	 1.69152 	 5.01869 	 9.39557 	 19.0284 	 59.2569 	 104.138 
POP-8 	 0.00665 	 0 	 0 	 0 	 0 	 0 	 2.00118 	 5.08306 	 13.9179 	 35.4734 	 89.7693 	 190.078 
POP-9 	 0.126958 	 0 	 0 	 0 	 0 	 0 	 1.52193 	 3.41405 	 8.18971 	 19.7443 	 43.7753 	 84.2254 
POP-10 	 0.01435 	 0 	 0 	 0 	 0 	 0 	 1.95781 	 4.20817 	 10.0951 	 22.7952 	 60.6605 	 128.497 
POP-11 	 0.999683 	 1 	 1 	 1 	 1 	 1 	 2.09214 	 5.45627 	 14.4439 	 36.3604 	 67.4724 	 148.634 
POP-12 	 0.759325 	 1 	 1 	 1 	 1 	 1 	 1.72195 	 4.28666 	 9.93507 	 20.3253 	 46.0395 	 99.7143 
POP-13 	 0.102192 	 0 	 0 	 0 	 0 	 0 	 1.59186 	 3.68416 	 8.34956 	 20.4643 	 67.6123 	 141.576 
POP-14 	 0.184275 	 0 	 0 	 0 	 0 	 0 	 1.78389 	 4.7419 	 12.4288 	 24.0028 	 54.9441 	 156.729 
POP-15 	 0 	 0 	 0 	 0 	 0 	 0 	 2.31421 	 5.57413 	 10.6834 	 18.3709 	 44.8873 	 114.704 
POP-16 	 0.00340833 	 0 	 0 	 0 	 0 	 0 	 1.91742 	 4.20745 	 8.90233 	 20.2444 	 45.7058 	 122.013 
POP-17 	 0.14155 	 0.0145833 	 0 	 0 	 0 	 0 	 1.55452 	 2.79229 	 9.78183 	 25.6263 	 56.3365 	 167.987 
POP-18 	 0.0587333 	 8.33333e-06 	 0 	 0 	 0 	 0 	 1.45232 	 3.08111 	 7.10467 	 15.2182 	 53.387 	 104.15 
POP-19 	 0.0550417 	 0 	 0 	 0 	 0 	 0 	 1.76679 	 4.37034 	 11.7632 	 25.8557 	 48.4828 	 104.791 
POP-20 	 0.99695 	 1 	 1 	 1 	 1 	 1 	 1.93508 	 3.73486 	 7.10374 	 15.297 	 30.2813 	 72.1991 
POP-21 	 0.126258 	 0.000133333 	 0 	 0 	 0 	 0 	 1.87622 	 4.81925 	 14.5072 	 30.0928 	 70.7218 	 158.139 
POP-22 	 0.242375 	 0 	 0 	 0 	 0 	 0 	 1.43479 	 3.17038 	 7.45057 	 15.3094 	 35.6715 	 74.1635 
