Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.48398 	 0.47789 	 0.46653 	 0.43556 	 0.35096 	 0.34166 	 1.00005 	 1.00018 	 1.00068 	 1.0037 	 1.01424 	 1.03187 
POP-2 	 0.49682 	 0.49009 	 0.48577 	 0.45687 	 0.17738 	 0.01533 	 1.00002 	 1.00009 	 1.00037 	 1.0042 	 1.03553 	 1.05401 
POP-3 	 0.49605 	 0.49215 	 0.49987 	 0.44074 	 0.12719 	 0.00847 	 1.00003 	 1.0001 	 1.0006 	 1.00608 	 1.04236 	 1.05923 
POP-4 	 0.50299 	 0.53627 	 0.87778 	 0.99679 	 0.99992 	 1 	 1.00011 	 1.00473 	 1.04912 	 1.06421 	 1.06513 	 1.07375 
POP-5 	 0.50439 	 0.5094 	 0.51972 	 0.40562 	 0.0941 	 0.0178 	 1.00003 	 1.00013 	 1.00133 	 1.0167 	 1.05035 	 1.05581 
POP-6 	 0.4967 	 0.49126 	 0.48801 	 0.56571 	 0.82981 	 0.93409 	 1.00005 	 1.00011 	 1.00124 	 1.01146 	 1.03756 	 1.04544 
POP-7 	 0.49586 	 0.48911 	 0.48534 	 0.43568 	 0.17621 	 0.03532 	 1.00002 	 1.00016 	 1.00124 	 1.01117 	 1.05368 	 1.06716 
POP-8 	 0.48498 	 0.48524 	 0.49425 	 0.50248 	 0.50459 	 0.40109 	 1.00004 	 1.00012 	 1.00054 	 1.00372 	 1.02496 	 1.04872 
POP-9 	 0.49655 	 0.49195 	 0.45708 	 0.2011 	 0.01545 	 0.00134 	 1.00001 	 1.00024 	 1.00389 	 1.03396 	 1.06194 	 1.07348 
POP-10 	 0.49658 	 0.5025 	 0.50895 	 0.54039 	 0.65417 	 0.73942 	 1.00003 	 1.00011 	 1.00128 	 1.01757 	 1.04902 	 1.05426 
POP-11 	 0.50096 	 0.52174 	 0.52839 	 0.64667 	 0.90264 	 0.98745 	 1.00003 	 1.0002 	 1.00168 	 1.01249 	 1.03651 	 1.04461 
POP-12 	 0.50757 	 0.51784 	 0.53511 	 0.53677 	 0.70872 	 0.94029 	 1.00002 	 1.00005 	 1.00018 	 1.00267 	 1.04008 	 1.06874 
POP-13 	 0.48984 	 0.50219 	 0.49512 	 0.44653 	 0.30357 	 0.20593 	 1.00002 	 1.00015 	 1.00079 	 1.00402 	 1.01608 	 1.02993 
POP-14 	 0.50745 	 0.50516 	 0.51347 	 0.47302 	 0.33108 	 0.1228 	 1.00002 	 1.0002 	 1.00103 	 1.0058 	 1.02223 	 1.05369 
POP-15 	 0.49653 	 0.49005 	 0.48082 	 0.35943 	 0.1424 	 0.05003 	 1.00005 	 1.0004 	 1.00311 	 1.01793 	 1.03792 	 1.04388 
POP-16 	 0.50348 	 0.4897 	 0.46728 	 0.27153 	 0.04243 	 0.00963 	 1.00002 	 1.00021 	 1.0028 	 1.02583 	 1.05943 	 1.07599 
POP-17 	 0.50577 	 0.51834 	 0.52359 	 0.5306 	 0.54628 	 0.5107 	 1.00002 	 1.00006 	 1.00014 	 1.00047 	 1.00189 	 1.00683 
POP-18 	 0.49449 	 0.4885 	 0.44615 	 0.32208 	 0.32026 	 0.3472 	 1.00004 	 1.00085 	 1.01337 	 1.04528 	 1.0519 	 1.05317 
POP-19 	 0.49802 	 0.48648 	 0.48477 	 0.51121 	 0.76772 	 0.97693 	 1.00001 	 1.00004 	 1.00026 	 1.0027 	 1.03013 	 1.05688 
POP-20 	 0.49752 	 0.50612 	 0.50884 	 0.51396 	 0.56621 	 0.68483 	 1.00002 	 1.00015 	 1.00099 	 1.00522 	 1.02086 	 1.03509 
POP-21 	 0.49925 	 0.51086 	 0.50087 	 0.51694 	 0.65089 	 0.9351 	 1.00001 	 1.00004 	 1.00021 	 1.00153 	 1.01492 	 1.0415 
POP-22 	 0.49764 	 0.47795 	 0.47548 	 0.47309 	 0.45064 	 0.35619 	 1.00003 	 1.0001 	 1.00045 	 1.0026 	 1.01238 	 1.02801 
POP-23 	 0.4894 	 0.49013 	 0.48266 	 0.54037 	 0.8182 	 0.96353 	 1.00003 	 1.00013 	 1.00083 	 1.00749 	 1.03588 	 1.05176 
POP-24 	 0.50205 	 0.49273 	 0.5046 	 0.47524 	 0.38637 	 0.2069 	 1.00002 	 1.00008 	 1.00036 	 1.00152 	 1.00675 	 1.01817 
POP-25 	 0.50118 	 0.50479 	 0.49861 	 0.38721 	 0.06515 	 0.00857 	 1.00004 	 1.00016 	 1.00139 	 1.02455 	 1.0651 	 1.06896 
POP-26 	 0.4898 	 0.47971 	 0.47637 	 0.46886 	 0.48573 	 0.65109 	 1.00002 	 1.00011 	 1.00031 	 1.00112 	 1.00486 	 1.03266 
POP-27 	 0.49127 	 0.47649 	 0.30091 	 0.03865 	 0.00218 	 0.00019 	 1.00013 	 1.00169 	 1.01917 	 1.04684 	 1.05144 	 1.05294 
POP-28 	 0.50154 	 0.49412 	 0.5036 	 0.62479 	 0.87663 	 0.9836 	 1.00003 	 1.00015 	 1.00142 	 1.00941 	 1.02894 	 1.04147 
POP-29 	 0.49931 	 0.50933 	 0.5019 	 0.49949 	 0.47876 	 0.3725 	 1.00004 	 1.0001 	 1.0003 	 1.00106 	 1.0042 	 1.01866 
POP-30 	 0.49687 	 0.50343 	 0.50583 	 0.53908 	 0.6784 	 0.70916 	 1.00003 	 1.00013 	 1.00088 	 1.00637 	 1.02757 	 1.04149 
POP-31 	 0.49272 	 0.4901 	 0.4917 	 0.46866 	 0.36784 	 0.17672 	 1.00002 	 1.00017 	 1.00077 	 1.00361 	 1.01434 	 1.03454 
POP-32 	 0.49689 	 0.49031 	 0.49756 	 0.50296 	 0.52515 	 0.60844 	 1.00001 	 1.00004 	 1.00017 	 1.00048 	 1.00179 	 1.0076 
POP-33 	 0.50429 	 0.49363 	 0.47467 	 0.4674 	 0.38468 	 0.17299 	 1.00001 	 1.00008 	 1.0003 	 1.00212 	 1.01406 	 1.037 
POP-34 	 0.49613 	 0.50216 	 0.50297 	 0.47327 	 0.3712 	 0.13572 	 1.00002 	 1.00005 	 1.00026 	 1.00183 	 1.00954 	 1.02692 
POP-35 	 0.50869 	 0.50226 	 0.48406 	 0.42006 	 0.39723 	 0.63276 	 1.00002 	 1.00017 	 1.00132 	 1.01169 	 1.0393 	 1.05454 
POP-36 	 0.47823 	 0.46448 	 0.45462 	 0.40661 	 0.20705 	 0.09214 	 1.00001 	 1.0001 	 1.00079 	 1.00738 	 1.03094 	 1.04307 
POP-37 	 0.50162 	 0.49256 	 0.47984 	 0.4575 	 0.281 	 0.15907 	 1.00001 	 1.00008 	 1.00031 	 1.00304 	 1.0277 	 1.05386 
POP-38 	 0.50467 	 0.5012 	 0.47042 	 0.3396 	 0.09298 	 0.02356 	 1.00002 	 1.00025 	 1.0022 	 1.01432 	 1.03515 	 1.04177 
POP-39 	 0.50336 	 0.49897 	 0.5274 	 0.93863 	 0.99923 	 0.99994 	 1.00002 	 1.0001 	 1.00534 	 1.0729 	 1.08258 	 1.08381 
POP-40 	 0.51493 	 0.51825 	 0.54138 	 0.64596 	 0.8727 	 0.97647 	 1.00004 	 1.00028 	 1.00172 	 1.01056 	 1.03001 	 1.04084 
POP-41 	 0.48846 	 0.497 	 0.50087 	 0.49357 	 0.5174 	 0.68842 	 1.00002 	 1.00005 	 1.00015 	 1.0007 	 1.00347 	 1.01754 
POP-42 	 0.49775 	 0.50677 	 0.56008 	 0.88729 	 0.99396 	 0.99919 	 1.00002 	 1.00039 	 1.00723 	 1.0415 	 1.05296 	 1.05395 
POP-43 	 0.50244 	 0.4927 	 0.50329 	 0.51532 	 0.52245 	 0.54446 	 1.00003 	 1.00009 	 1.00043 	 1.00156 	 1.0058 	 1.01595 
POP-44 	 0.50326 	 0.51447 	 0.52376 	 0.48415 	 0.13557 	 0.01283 	 1.00001 	 1.00005 	 1.00028 	 1.00488 	 1.04709 	 1.0618 
POP-45 	 0.48643 	 0.48355 	 0.47437 	 0.3517 	 0.12038 	 0.02619 	 1.00004 	 1.00022 	 1.00192 	 1.01148 	 1.03003 	 1.03691 
POP-46 	 0.49762 	 0.50659 	 0.51772 	 0.56774 	 0.74374 	 0.92319 	 1.00002 	 1.00013 	 1.00088 	 1.00518 	 1.01874 	 1.03062 
POP-47 	 0.50884 	 0.58165 	 0.95738 	 0.99919 	 1 	 1 	 1.00017 	 1.0104 	 1.06342 	 1.06964 	 1.07036 	 1.07266 
POP-48 	 0.49545 	 0.49705 	 0.4915 	 0.47463 	 0.45689 	 0.64514 	 1.00002 	 1.00013 	 1.00086 	 1.00543 	 1.02205 	 1.05595 
POP-49 	 0.50733 	 0.51593 	 0.5021 	 0.30389 	 0.19976 	 0.27066 	 1.00004 	 1.00042 	 1.00516 	 1.03717 	 1.05678 	 1.06648 
