Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
PAl,BI,Acetate,1.975812395,0,-0.824847064,0.07298399,-0.892690827,-0.995466788,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.564351128,-0.250667083,-0.780753714,0.038022539
PAg1,BI,Acetate,0,0,-1.02095852,0.113104883,-0.892690827,-0.727022587,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.780753714,0.038022539
PAg3,BI,Acetate,1.129036587,0,-0.995724524,0.081750421,-0.892690827,-0.851973435,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.598951558,-0.248461055,-0.780753714,0.038022539
LA,BI,Acetate,1.206140208,-0.058858454,-0.833409316,0.055645857,-0.892690827,-0.940965667,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.780753714,0.038022539
EL,BI,Acetate,0,-0.353775541,-0.180209567,0.052006108,-0.892690827,-0.919043173,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.734730655,-0.044093938,-0.780753714,0.038022539
RP2,BI,Acetate,1.60502448,-0.361417454,-0.364223032,0.045393609,-0.892690827,-0.947123812,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.780753714,0.038022539
RP1,BI,Acetate,1.545156292,-0.176054631,-0.161343665,0.056978621,-0.892690827,-0.960912492,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.780753714,0.038022539
SF1,BI,Acetate,1.370369193,0.848352937,-0.832443111,0.065064696,-0.892690827,-0.835507145,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.780753714,0.038022539
BI,BI,Acetate,0.047744567,0.047744567,-0.892690827,0,-0.892690827,-0.650664531,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.780753714,0.038022539,-0.780753714,0.038022539
KA,BI,Acetate,0,-0.033183245,-0.842863564,0.080031113,-0.892690827,-0.781634643,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.780753714,0.038022539
CF,BI,Acetate,0.828841824,0,-0.889393432,0.086684061,-0.892690827,-0.661498854,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.774739165,0.046373732,-0.780753714,0.038022539
EC,BI,Acetate,1.355093912,3.216960884,-0.671409558,1,-0.892690827,-0.570535161,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.643519307,-0.047828461,-0.780753714,0.038022539
EA,BI,Acetate,1.607581025,-0.02934184,-0.725165275,0.074362093,-0.892690827,-0.696975019,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.728605914,0.258253314,-0.780753714,0.038022539
PK,BI,Acetate,0,-0.403332389,0.058769085,0.68991246,-0.892690827,-0.488935089,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.780753714,0.038022539
PR1,BI,Acetate,3.401265982,-0.06050446,0.085713733,0.60172791,-0.892690827,-0.548260352,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.780753714,0.038022539
PAr,BI,Acetate,0.620757363,0.095357713,-0.170784031,0.450210677,-0.892690827,-0.712932431,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.780753714,0.038022539
PR2,BI,Acetate,0,0.093658482,0.005732631,0.55608052,-0.892690827,-0.70959221,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.639875556,0.005653129,-0.780753714,0.038022539
PH,BI,Acetate,2.957433409,-0.022817298,0.050227415,0.652108074,-0.892690827,-0.279961417,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.675692322,0.010778575,-0.780753714,0.038022539
PP,BI,Acetate,3.096874138,-0.050831604,0.397380868,0.423031686,-0.892690827,0.039141285,-0.650664531,-2.580535726,0.565009442,0.457130669,-0.212694531,1.708237337,0.022892351,-0.780753714,0.038022539
PAl,CF,Acetate,0,0,-0.824847064,0.108557229,-0.889393432,-0.995466788,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.564351128,-0.250667083,-0.774739165,0.046373732
PAg2,CF,Acetate,0,0,-0.968978489,0.119695276,-0.889393432,-0.686779466,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.630904166,-0.20157447,-0.774739165,0.046373732
PAg1,CF,Acetate,0,0,-1.02095852,0.120179844,-0.889393432,-0.727022587,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.774739165,0.046373732
PAg3,CF,Acetate,0,0,-0.995724524,0.108882199,-0.889393432,-0.851973435,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.598951558,-0.248461055,-0.774739165,0.046373732
LA,CF,Acetate,0,0.491678092,-0.833409316,0.100318202,-0.889393432,-0.940965667,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.774739165,0.046373732
EL,CF,Acetate,0,-0.45961077,-0.180209567,0.098114272,-0.889393432,-0.919043173,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.734730655,-0.044093938,-0.774739165,0.046373732
RP2,CF,Acetate,0.224825942,-0.353092681,-0.364223032,0.099363207,-0.889393432,-0.947123812,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.774739165,0.046373732
RP1,CF,Acetate,0,0.126510911,-0.161343665,0.087446718,-0.889393432,-0.960912492,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.774739165,0.046373732
SF1,CF,Acetate,0,0.106663706,-0.832443111,0.139244743,-0.889393432,-0.835507145,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.774739165,0.046373732
KA,CF,Acetate,0,-0.154727711,-0.842863564,0.048608138,-0.889393432,-0.781634643,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.774739165,0.046373732
CF,CF,Acetate,0,0,-0.889393432,0,-0.889393432,-0.661498854,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.774739165,0.046373732,-0.774739165,0.046373732
EC,CF,Acetate,0,3.681685103,-0.671409558,1,-0.889393432,-0.570535161,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.643519307,-0.047828461,-0.774739165,0.046373732
EA,CF,Acetate,0,0.230825017,-0.725165275,0.135580509,-0.889393432,-0.696975019,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.728605914,0.258253314,-0.774739165,0.046373732
PK,CF,Acetate,0,-0.082188261,0.058769085,0.69019347,-0.889393432,-0.488935089,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.774739165,0.046373732
PR1,CF,Acetate,1.51615898,-0.111715931,0.085713733,0.597775836,-0.889393432,-0.548260352,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.774739165,0.046373732
PAr,CF,Acetate,0,0.139367992,-0.170784031,0.443178142,-0.889393432,-0.712932431,-0.661498854,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.774739165,0.046373732
