n1,n2,n3,n4,n5,n6,v,pattr,alpha,nt,mu,ns,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,pls1,pls2,pls3,pls4,pls5,pls6,weighting,Score
6.289073411,6.597681184,6.13973029,6.098322818,7.583448682,7.212803949,-1.957764582,0.485383692,0.311190129,1.381745339,-3.962851812,5.847710602,-0.241980898,0.377047108,0.074165264,0.008657882,0.190591401,0.063289841,0.115294111,-0.208377645,-0.06008031,-0.045105564,-0.772860391,0.17027059,-0.161621608,0.016923694,-0.016883969,-0.11418141,0.154720281,0.370126613,-0.116855083,0.104845847,1.605196349,-1.497875148,0.350831298,0.142108051,-0.06144076,0.105649502,-0.137952106,0.042577985,0.153522855,-0.024186271,-0.376490304,0.332774588,0.149157146,-0.154307404,-0.284577593,0.387829403,0.117226712,0.128227894,-0.101870545,-0.012305366,-0.975530289,0.791909326,0.173701685,0.001917869,0.048633315,-0.022424875,0.041747497,0.188210581,-0.007040228,-0.03835081,0.781275531,0.959865224,0.255032516,-0.052274906,0.558359588,0.122970959,0.240285571,-0.607366225,-0.024936927,-0.141622306,0.019609999,1.133991688,0.8412663,-0.036974815,0.434681982,0.54313342,7.95E-04,1.574598413
6.686158912,6.35393725,6.660228813,7.117124358,6.156371656,6.806817083,-0.857146211,0.544728745,0.163811269,2.035946551,-4.021266973,5.659016512,0.409107044,-0.189058258,0.25718318,0.020689682,-0.086110879,0.26284759,-0.09585637,-0.069459378,-0.008452727,-0.125128408,0.172826354,0.29504388,0.04419703,0.007083181,0.082615806,0.039072023,0.075402484,0.097519024,-0.061179576,-0.025007831,0.135793177,-0.666070663,0.280185346,0.179694282,0.073321894,0.107162166,-0.125720896,-0.265656243,0.0495412,-0.123171197,-1.249728754,-0.016405752,0.104951441,0.076868694,-0.109951872,0.347248996,0.032117393,0.037805096,-0.160764259,-0.060948554,-0.524248338,-0.378432215,0.225739196,0.313145555,0.536411264,-0.049312576,-0.098020462,-0.461908193,-0.019400975,-0.157902351,1.350352332,0.608610996,0.313225732,-0.009075394,0.492251275,0.057212897,0.095325445,-0.519556483,0.083327536,-0.14293273,0.294101816,-0.346312012,1.225481926,0.588406,0.988537487,0.764231097,4.90E-04,1.901502299
6.974499252,6.167662929,6.39628633,6.312346144,7.76824734,7.843341989,-3.692731573,0.495546678,0.503146804,1.196252109,-4.047490226,5.40406313,0.522069943,0.187468288,0.033426914,-0.109882434,-0.176401189,0.248792971,0.08823542,0.21259524,-0.062661996,0.020692039,0.280861811,-0.43375037,-0.053220309,0.107140229,-0.056792013,0.025463032,-0.078419446,0.304215232,-0.075427276,-0.002134995,2.004468959,-0.875131805,0.403695349,0.077494606,0.001923262,0.231829554,-0.128512551,-0.186074726,0.149143005,-0.099552635,-1.548427788,0.134171366,-0.016982489,0.029885661,0.109037223,0.093808588,0.303657656,-0.101200535,-0.201328229,0.016301229,-1.93231683,0.743670006,-0.133752856,0.191927469,0.329498181,-0.066355988,0.112438516,-0.017339426,-0.200124459,-0.021080978,1.120599051,0.880986737,0.426248765,-0.107516712,0.348980361,0.12576607,0.144085371,-0.341584221,0.107564636,-0.117034935,0.447255146,0.637414221,0.659415374,0.18904882,0.556245825,0.659304227,0.001832836,1.349441969
6.463405046,6.547368208,6.111907798,6.104847998,6.971515592,7.897343148,-0.732269565,0.177724147,0.502492471,1.223714304,-2.997925762,5.760138023,-0.936731125,-0.43125097,0.094438386,0.113222301,0.112767046,-0.026253989,0.22043549,-0.040507091,-0.151864871,-0.002201972,0.260421562,-0.461823053,-0.155175634,0.1363779,-0.092204449,-0.177124585,-0.112083151,0.677523521,-0.033522503,0.098161772,2.028357799,-1.212229742,0.469892745,0.087570402,-0.131749564,0.309626363,-0.160147671,-0.022265013,0.135684041,-0.093394031,-1.201575198,-0.154711845,-0.100951861,0.022679833,-0.040044402,0.158996375,0.138637485,-0.065904727,-0.151527355,0.031333241,-1.53386212,0.418742549,-0.273612405,0.221680318,0.283558109,-0.104847772,0.01258817,0.034757814,-0.165364496,0.030548176,2.262595409,1.08414156,0.372021019,-0.130331244,0.562112777,0.069689556,0.171140857,-0.503790894,0.101101709,-0.147049653,0.879206328,-0.7571315,0.406612251,0.451199509,0.694439517,0.230085948,0.00155992,1.500117389
7.806731183,7.557736089,7.615912622,7.194837951,6.299645014,6.810723966,0.462436572,0.439536786,0.317918098,1.306679974,-4.131679613,6.064672418,-0.304559495,0.131411188,0.27557561,-0.153091085,-0.529935163,0.373560822,0.014917705,0.515918842,-0.015173272,0.024386464,-0.243925747,0.032688954,-0.039175172,0.074302157,-0.097065736,2.69E-05,-0.020530992,0.509205813,-0.100366021,0.008391515,0.35336126,-0.251819593,0.208177908,0.00931244,-0.063954612,0.258747991,0.081491818,-0.049919289,-0.001019111,-0.025068311,-1.384981311,0.6124022,-0.089914545,-0.100138649,-0.125189422,0.322628321,0.163657187,0.011110982,-0.178623035,0.030911105,-0.129070982,-0.361245986,0.112278044,0.189512596,0.325938549,-0.099431509,0.032457102,-0.136377444,2.76E-04,-0.022832836,2.458042809,-0.562283535,0.248642384,0.019992492,0.281179209,0.09651053,0.066048753,-0.206295995,0.046776166,-0.104867017,0.748866534,-0.398846772,0.715584229,0.03988995,-0.209027175,0.952043095,8.53E-04,1.477704383
7.816270623,6.592203187,6.479351913,6.796909086,7.7174075,6.421722509,0.765877057,0.416481476,0.092642746,2.670248922,-3.296979948,5.81936546,0.119261177,0.590479541,0.106422175,-0.120025443,-0.016420168,0.265471236,0.083203384,-0.111007118,-0.044412618,-0.043461845,0.288792224,0.702057439,-0.207087576,-0.13555256,0.006343519,0.063116334,0.20381246,0.274521538,-0.151442952,0.077317331,0.536110358,-1.132282524,0.264583149,0.146115411,0.008962796,0.126201842,0.0106558,-0.162181199,0.077477284,-0.006611323,-2.225474093,-0.545005985,0.07464578,0.094837491,0.160614571,-0.137183118,0.327115399,-0.259629149,-0.182119512,0.013283076,-0.354297076,1.567248057,-0.066771091,-0.053908607,0.561501616,-0.171153317,0.214222774,-0.300026072,-0.059484699,-0.010079002,2.205040038,-0.523792626,0.296510761,0.019342673,0.287027831,0.141927422,0.016893137,-0.395050298,0.06838556,-0.147153147,0.569432628,0.658703902,0.468303198,-0.049191036,1.008030166,0.288380399,6.91E-04,1.441929285
6.20587323,6.254600091,6.096174125,6.026301958,7.289264825,6.273680714,0.028881261,0.986557515,0.349582726,1.423778182,-4.105051335,5.195156108,0.791530276,0.102342438,0.064926311,-0.147767111,-0.280484982,0.287984288,0.033102432,0.230686926,-0.040203692,0.009105064,0.026484789,0.226584681,-0.299194453,-0.084503361,-0.193653436,0.192522762,0.224423858,0.553665151,-0.199536462,0.166024633,0.770230975,-0.906374565,0.202325582,0.125790658,0.085143129,0.200308715,0.041514539,-0.297451289,0.035237413,-0.029889185,-0.867373603,-0.143989845,-0.074386024,-0.03036663,-0.383420435,0.443414249,0.169418976,0.514209481,-0.164127452,0.151488726,-2.221989995,1.47425849,0.030707839,-0.163999625,0.156077306,-0.219098697,0.322019312,0.219101616,-0.120967495,0.031542486,1.25011189,0.311405428,0.410406572,-0.042824193,0.311743574,0.130696224,0.217006364,-0.279057141,0.070851203,-0.083511557,-0.251005667,1.064226627,0.334785827,-0.343670262,-0.304594845,1.035827541,0.002529003,1.609810445
6.068390276,6.278138904,6.731654907,6.487053468,7.348694944,7.982724054,-2.481644782,0.151765609,0.266630497,1.674653761,-2.601824161,5.456881246,-1.803902629,0.296371516,0.279630926,0.004462071,0.391081865,-0.470804887,0.574635449,-0.223070751,-0.135697154,0.022887623,-0.275999702,-0.582111192,0.047534087,0.130846876,0.18724544,-0.077527009,0.091606577,-0.035806255,-0.083324454,-0.022163587,2.808376005,-0.899968754,0.344166338,-0.122135869,-0.092489068,-0.027997299,0.170910155,0.159261817,0.148166497,0.021735498,-2.111490366,0.072893094,-0.157050476,0.040062736,-0.216758061,0.354843153,0.12919018,0.153170767,-0.265608668,0.039987301,-1.446504088,0.522038716,-0.006174228,0.128447632,0.414386664,-0.222754704,0.23778837,-0.201595832,-0.08655971,0.01356535,1.841232554,0.317809123,0.361114158,-0.071007258,0.569458899,-0.159817374,0.323148778,-0.489110723,0.147780169,-0.063474926,-0.988288226,-0.272967497,0.869220804,0.110676188,1.252925738,-0.604058121,0.003201795,1.937454003
6.95480164,6.478854487,7.468289641,7.495532461,7.516086364,6.043190935,-0.510477866,0.87512868,0.238957313,1.57080504,-4.823551386,6.050690888,0.860782674,-0.096765195,0.266594509,-0.073744595,-0.06888057,0.083872762,0.0969251,0.113165889,0.037236222,-0.041959713,0.777680454,-0.362985769,0.030355218,0.087025261,0.127205724,-0.059093504,-0.059246468,0.057642834,0.007032534,-0.017481331,0.109312018,-0.314534291,0.222949118,0.043445105,0.057809669,0.080334487,0.079599355,-0.218826564,0.046358105,-0.024283333,-1.853126629,1.035306618,0.095124192,-0.132738113,0.096734477,0.307257288,0.27958917,-0.382451538,-0.191887666,-0.078253043,-1.775882365,0.655172054,0.041413179,0.019484567,0.307887762,-0.248347861,0.294452498,-0.201448402,-0.059573552,0.028087723,1.811502305,-1.072637669,0.477923481,0.138612968,0.539438622,8.83E-04,0.094090981,-0.464141366,0.051302731,-0.177010322,-0.069731544,-0.156444252,1.134359696,0.082085193,1.060195685,0.164906647,8.07E-04,1.572913311
6.683338202,7.288835724,6.724533661,7.535248076,6.662010402,7.130491308,-3.41626792,0.674566334,0.480195218,1.235371624,-4.59708134,5.613122578,0.978180774,0.457701857,-0.184918207,-0.115006739,0.018415258,0.193036988,0.109151918,0.097611951,-0.109881598,0.025631043,-0.330728005,0.188857668,0.03648844,0.022573348,-0.040320874,0.044686925,0.055767068,0.268061975,-0.07807549,-0.006281453,0.482200799,-0.732817782,0.128246339,0.054981573,0.011666783,0.144043448,0.095205178,-0.222403063,0.015431158,0.004392985,-2.563783067,0.928978512,-0.08012732,-0.154114891,-0.068782998,0.157169435,0.410292606,0.149447003,-0.301739233,0.035568518,0.678523842,0.28237781,0.254916778,0.069211253,0.120819433,0.08234291,0.015960094,0.133116017,-0.032259721,-0.056635715,0.54154319,-0.568007006,0.509703568,0.225052238,0.282211639,0.148597332,-0.090096344,-0.231071639,-0.010448531,-0.247329408,-0.214062466,0.557091058,0.664309598,0.102696783,0.324009241,0.769877038,6.71E-04,1.227077707
7.194817223,5.991599968,6.977903884,6.678074937,7.457917882,6.375633318,0.305670222,0.673838631,0.305157785,1.371944941,-4.285140621,5.687770411,0.365705807,1.143515763,-0.136399795,-0.214602285,0.203056633,0.070934353,0.283005217,0.003467738,-0.062300362,0.094344033,0.888495136,-0.93975436,0.20849782,0.035640929,-0.130881056,0.087587902,-0.15068787,0.19973202,-0.00212833,-0.077497394,0.421143627,-0.221716368,0.186488547,0.08053401,0.141500214,0.05176113,0.045732278,-0.171552075,0.031403008,-0.044652489,-2.085813182,-0.571652494,-0.098689521,0.158317756,-0.041643894,0.166872804,0.148857786,0.026769197,-0.244099788,0.042366053,-1.353556625,1.627068163,-0.186467796,-0.12277323,0.440080499,-0.199132414,0.247708437,-0.267265072,-0.101072089,0.045770487,2.573754303,0.054058684,0.221176895,-0.091340732,0.32344573,0.127485588,0.202264287,-0.297568195,0.024186716,-0.093504045,0.809729066,1.091519386,0.19460615,-0.154223553,0.935558127,0.305509364,5.31E-04,1.696271549
7.723330565,7.255847901,7.567781438,6.258720273,6.506377324,7.105734508,0.570178677,0.817677581,0.248054511,1.593678271,-4.665956174,5.877153122,-0.56952169,0.610534189,-0.119524891,-0.057009059,-0.02066795,0.092728762,0.074758234,0.181334388,-0.052770791,0.099986681,0.57652896,0.354881458,0.006724851,-0.054735772,0.07893565,0.033056877,0.104801411,0.05403118,-0.046560726,-0.004214347,-0.401812428,-0.292435093,0.17299387,-0.033376333,-0.098489276,0.069816361,0.113436149,-0.089802399,-0.020703437,-0.039500412,-0.371126359,-0.980377685,0.235518681,0.125478363,0.111579818,0.184028128,-0.013246612,-0.198893487,-0.079008143,-0.097205914,-1.176987902,-1.094586467,0.00310604,0.463450902,0.508189836,-0.236962867,-0.0935501,0.063203485,-0.103292533,0.030544792,1.412297423,-0.006697679,0.128893444,0.048645938,0.365497415,0.072863574,0.118633103,-0.261560353,-0.012911805,-0.079337303,-0.530621996,-1.408681278,0.427711995,0.49245404,0.945045493,0.215530834,6.89E-04,1.905506679
