,25,33,41,54,62,70,79,87,95,103,116
gln_01,0.01,0.01,0.01,0.02,0.04,0.07,0.15,0.25,0.34,0.44,0.55
gln_02,0.02,0.01,0.01,0.01,0.02,0.05,0.12,0.2,0.3,0.4,0.53
gln_03,0.03,0.02,0.02,0.03,0.04,0.08,0.22,0.37,0.5,0.65,0.75
gln_04,0.03,0.02,0.01,0.02,0.04,0.07,0.16,0.32,0.51,0.64,0.77
gln_05,0.02,0.01,0.01,0.02,0.03,0.05,0.15,0.28,0.44,0.56,0.69
gln_06,0.03,0.03,0.01,0.02,0.03,0.07,0.18,0.37,0.54,0.72,0.84
gln_07,0.01,0.02,0.01,0.01,0.03,0.04,0.09,0.19,0.32,0.48,0.55
gln_08,0.03,0.02,0.01,0.02,0.02,0.06,0.14,0.3,0.51,0.67,0.84
gln_09,0.02,0.01,0.02,0.02,0.04,0.06,0.15,0.32,0.45,0.54,0.61
bc01,0.0201,0.02384956332,0.034247878745,0.1306625959,0.3157768808,0.6058805355,0.7695932311,0.8061161194,0.82886750555,0.8516364997111111,0.8522644984
bc02,0.0191,0.02499355979,0.03172668901,0.06532225438,0.1463532324,0.3005874605,0.4802864753,0.5589392864,0.65781852335,0.7632775347333334,0.8791325301
